Variable,UNIT,COU,Country,Year,Value
A-Alimentary tract and metabolism,NBPYEANB,DNK,Denmark,2010,154.3
A-Alimentary tract and metabolism,NBPYEANB,DNK,Denmark,2011,157.9
A-Alimentary tract and metabolism,NBPYEANB,DNK,Denmark,2012,163.3
A-Alimentary tract and metabolism,NBPYEANB,DNK,Denmark,2013,165.4
A-Alimentary tract and metabolism,NBPYEANB,DNK,Denmark,2014,169.5
A-Alimentary tract and metabolism,NBPYEANB,DNK,Denmark,2015,174.2
A-Alimentary tract and metabolism,NBPYEANB,DNK,Denmark,2016,178.0
A-Alimentary tract and metabolism,NBPYEANB,DNK,Denmark,2017,180.2
A-Alimentary tract and metabolism,NBPYEANB,DNK,Denmark,2018,181.9
A-Alimentary tract and metabolism,NBPYEANB,DNK,Denmark,2019,186.0
A-Alimentary tract and metabolism,NBPYEANB,DNK,Denmark,2020,194.2
A-Alimentary tract and metabolism,NBPYEANB,DNK,Denmark,2021,202.5
A-Alimentary tract and metabolism,NBPYEANB,FIN,Finland,2010,312.0
A-Alimentary tract and metabolism,NBPYEANB,FIN,Finland,2011,314.0
A-Alimentary tract and metabolism,NBPYEANB,FIN,Finland,2012,309.2
A-Alimentary tract and metabolism,NBPYEANB,FIN,Finland,2013,305.7
A-Alimentary tract and metabolism,NBPYEANB,FIN,Finland,2014,306.1
A-Alimentary tract and metabolism,NBPYEANB,FIN,Finland,2015,305.9
A-Alimentary tract and metabolism,NBPYEANB,FIN,Finland,2016,307.4
A-Alimentary tract and metabolism,NBPYEANB,FIN,Finland,2017,302.3
A-Alimentary tract and metabolism,NBPYEANB,FIN,Finland,2018,305.1
A-Alimentary tract and metabolism,NBPYEANB,FIN,Finland,2019,315.0
A-Alimentary tract and metabolism,NBPYEANB,FIN,Finland,2020,326.4
A-Alimentary tract and metabolism,NBPYEANB,FRA,France,2010,131.0
A-Alimentary tract and metabolism,NBPYEANB,FRA,France,2011,135.3
A-Alimentary tract and metabolism,NBPYEANB,FRA,France,2012,145.6
A-Alimentary tract and metabolism,NBPYEANB,FRA,France,2013,152.0
A-Alimentary tract and metabolism,NBPYEANB,FRA,France,2014,156.6
A-Alimentary tract and metabolism,NBPYEANB,FRA,France,2015,158.7
A-Alimentary tract and metabolism,NBPYEANB,FRA,France,2016,164.0
A-Alimentary tract and metabolism,NBPYEANB,FRA,France,2017,163.5
A-Alimentary tract and metabolism,NBPYEANB,FRA,France,2018,161.3
A-Alimentary tract and metabolism,NBPYEANB,FRA,France,2019,168.1
A-Alimentary tract and metabolism,NBPYEANB,FRA,France,2020,161.8
A-Alimentary tract and metabolism,NBPYEANB,DEU,Germany,2010,183.1
A-Alimentary tract and metabolism,NBPYEANB,DEU,Germany,2011,190.3
A-Alimentary tract and metabolism,NBPYEANB,DEU,Germany,2012,217.0
A-Alimentary tract and metabolism,NBPYEANB,DEU,Germany,2013,221.7
A-Alimentary tract and metabolism,NBPYEANB,DEU,Germany,2014,227.0
A-Alimentary tract and metabolism,NBPYEANB,DEU,Germany,2015,228.7
A-Alimentary tract and metabolism,NBPYEANB,DEU,Germany,2016,232.8
A-Alimentary tract and metabolism,NBPYEANB,DEU,Germany,2017,227.4
A-Alimentary tract and metabolism,NBPYEANB,DEU,Germany,2018,228.9
A-Alimentary tract and metabolism,NBPYEANB,DEU,Germany,2019,230.4
A-Alimentary tract and metabolism,NBPYEANB,DEU,Germany,2020,232.7
A-Alimentary tract and metabolism,NBPYEANB,GRC,Greece,2013,168.2
A-Alimentary tract and metabolism,NBPYEANB,GRC,Greece,2014,175.1
A-Alimentary tract and metabolism,NBPYEANB,GRC,Greece,2015,186.7
A-Alimentary tract and metabolism,NBPYEANB,GRC,Greece,2017,214.9
A-Alimentary tract and metabolism,NBPYEANB,GRC,Greece,2018,252.1
A-Alimentary tract and metabolism,NBPYEANB,GRC,Greece,2019,270.2
A-Alimentary tract and metabolism,NBPYEANB,GRC,Greece,2020,300.3
A-Alimentary tract and metabolism,NBPYEANB,GRC,Greece,2021,356.6
A-Alimentary tract and metabolism,NBPYEANB,HUN,Hungary,2010,200.9
A-Alimentary tract and metabolism,NBPYEANB,HUN,Hungary,2011,214.2
A-Alimentary tract and metabolism,NBPYEANB,HUN,Hungary,2012,221.9
A-Alimentary tract and metabolism,NBPYEANB,HUN,Hungary,2013,234.6
A-Alimentary tract and metabolism,NBPYEANB,HUN,Hungary,2014,247.8
A-Alimentary tract and metabolism,NBPYEANB,HUN,Hungary,2015,256.0
A-Alimentary tract and metabolism,NBPYEANB,HUN,Hungary,2016,269.5
A-Alimentary tract and metabolism,NBPYEANB,HUN,Hungary,2017,271.7
A-Alimentary tract and metabolism,NBPYEANB,HUN,Hungary,2018,280.1
A-Alimentary tract and metabolism,NBPYEANB,HUN,Hungary,2019,295.9
A-Alimentary tract and metabolism,NBPYEANB,HUN,Hungary,2020,373.9
A-Alimentary tract and metabolism,NBPYEANB,HUN,Hungary,2021,411.8
A-Alimentary tract and metabolism,NBPYEANB,ISL,Iceland,2010,146.1
A-Alimentary tract and metabolism,NBPYEANB,ISL,Iceland,2011,133.0
A-Alimentary tract and metabolism,NBPYEANB,ISL,Iceland,2012,137.0
A-Alimentary tract and metabolism,NBPYEANB,ISL,Iceland,2013,144.5
A-Alimentary tract and metabolism,NBPYEANB,ISL,Iceland,2014,146.7
A-Alimentary tract and metabolism,NBPYEANB,ISL,Iceland,2015,155.3
A-Alimentary tract and metabolism,NBPYEANB,ISL,Iceland,2016,164.0
A-Alimentary tract and metabolism,NBPYEANB,ISL,Iceland,2017,170.1
A-Alimentary tract and metabolism,NBPYEANB,ISL,Iceland,2018,174.8
A-Alimentary tract and metabolism,NBPYEANB,ISL,Iceland,2019,178.5
A-Alimentary tract and metabolism,NBPYEANB,ISL,Iceland,2020,186.7
A-Alimentary tract and metabolism,NBPYEANB,ISL,Iceland,2021,194.6
A-Alimentary tract and metabolism,NBPYEANB,ITA,Italy,2011,166.3
A-Alimentary tract and metabolism,NBPYEANB,ITA,Italy,2012,172.4
A-Alimentary tract and metabolism,NBPYEANB,ITA,Italy,2013,177.4
A-Alimentary tract and metabolism,NBPYEANB,ITA,Italy,2014,179.6
A-Alimentary tract and metabolism,NBPYEANB,ITA,Italy,2015,271.2
A-Alimentary tract and metabolism,NBPYEANB,ITA,Italy,2016,285.3
A-Alimentary tract and metabolism,NBPYEANB,ITA,Italy,2017,183.1
A-Alimentary tract and metabolism,NBPYEANB,ITA,Italy,2018,181.9
A-Alimentary tract and metabolism,NBPYEANB,ITA,Italy,2019,182.3
A-Alimentary tract and metabolism,NBPYEANB,ITA,Italy,2020,182.0
A-Alimentary tract and metabolism,NBPYEANB,ITA,Italy,2021,186.5
A-Alimentary tract and metabolism,NBPYEANB,KOR,Korea,2010,278.1
A-Alimentary tract and metabolism,NBPYEANB,KOR,Korea,2011,240.6
A-Alimentary tract and metabolism,NBPYEANB,KOR,Korea,2012,245.7
A-Alimentary tract and metabolism,NBPYEANB,KOR,Korea,2013,330.9
A-Alimentary tract and metabolism,NBPYEANB,KOR,Korea,2014,422.9
A-Alimentary tract and metabolism,NBPYEANB,KOR,Korea,2015,370.0
A-Alimentary tract and metabolism,NBPYEANB,KOR,Korea,2016,217.5
A-Alimentary tract and metabolism,NBPYEANB,KOR,Korea,2017,219.3
A-Alimentary tract and metabolism,NBPYEANB,KOR,Korea,2018,223.5
A-Alimentary tract and metabolism,NBPYEANB,KOR,Korea,2019,256.0
A-Alimentary tract and metabolism,NBPYEANB,KOR,Korea,2020,315.9
A-Alimentary tract and metabolism,NBPYEANB,LUX,Luxembourg,2010,249.7
A-Alimentary tract and metabolism,NBPYEANB,LUX,Luxembourg,2011,303.0
A-Alimentary tract and metabolism,NBPYEANB,LUX,Luxembourg,2012,360.4
A-Alimentary tract and metabolism,NBPYEANB,LUX,Luxembourg,2013,396.3
A-Alimentary tract and metabolism,NBPYEANB,LUX,Luxembourg,2014,415.6
A-Alimentary tract and metabolism,NBPYEANB,LUX,Luxembourg,2015,453.4
A-Alimentary tract and metabolism,NBPYEANB,LUX,Luxembourg,2016,465.8
A-Alimentary tract and metabolism,NBPYEANB,LUX,Luxembourg,2017,460.5
A-Alimentary tract and metabolism,NBPYEANB,LUX,Luxembourg,2018,432.6
A-Alimentary tract and metabolism,NBPYEANB,LUX,Luxembourg,2019,446.7
A-Alimentary tract and metabolism,NBPYEANB,LUX,Luxembourg,2020,484.8
A-Alimentary tract and metabolism,NBPYEANB,LUX,Luxembourg,2021,565.3
A-Alimentary tract and metabolism,NBPYEANB,NLD,Netherlands,2010,220.1
A-Alimentary tract and metabolism,NBPYEANB,NLD,Netherlands,2011,231.1
A-Alimentary tract and metabolism,NBPYEANB,NLD,Netherlands,2012,233.7
A-Alimentary tract and metabolism,NBPYEANB,NLD,Netherlands,2013,255.2
A-Alimentary tract and metabolism,NBPYEANB,NLD,Netherlands,2014,272.8
A-Alimentary tract and metabolism,NBPYEANB,NLD,Netherlands,2015,289.2
A-Alimentary tract and metabolism,NBPYEANB,NLD,Netherlands,2016,305.8
A-Alimentary tract and metabolism,NBPYEANB,NLD,Netherlands,2017,315.1
A-Alimentary tract and metabolism,NBPYEANB,NLD,Netherlands,2018,319.8
A-Alimentary tract and metabolism,NBPYEANB,NLD,Netherlands,2019,326.4
A-Alimentary tract and metabolism,NBPYEANB,NLD,Netherlands,2020,326.8
A-Alimentary tract and metabolism,NBPYEANB,NOR,Norway,2010,257.8
A-Alimentary tract and metabolism,NBPYEANB,NOR,Norway,2011,252.4
A-Alimentary tract and metabolism,NBPYEANB,NOR,Norway,2012,256.0
A-Alimentary tract and metabolism,NBPYEANB,NOR,Norway,2013,257.9
A-Alimentary tract and metabolism,NBPYEANB,NOR,Norway,2014,264.4
A-Alimentary tract and metabolism,NBPYEANB,NOR,Norway,2015,270.6
A-Alimentary tract and metabolism,NBPYEANB,NOR,Norway,2016,279.1
A-Alimentary tract and metabolism,NBPYEANB,NOR,Norway,2017,289.0
A-Alimentary tract and metabolism,NBPYEANB,NOR,Norway,2018,275.1
A-Alimentary tract and metabolism,NBPYEANB,NOR,Norway,2019,263.1
A-Alimentary tract and metabolism,NBPYEANB,NOR,Norway,2020,269.7
A-Alimentary tract and metabolism,NBPYEANB,NOR,Norway,2021,283.2
A-Alimentary tract and metabolism,NBPYEANB,PRT,Portugal,2010,180.7
A-Alimentary tract and metabolism,NBPYEANB,PRT,Portugal,2011,175.5
A-Alimentary tract and metabolism,NBPYEANB,PRT,Portugal,2012,184.1
A-Alimentary tract and metabolism,NBPYEANB,PRT,Portugal,2013,196.7
A-Alimentary tract and metabolism,NBPYEANB,PRT,Portugal,2014,203.1
A-Alimentary tract and metabolism,NBPYEANB,PRT,Portugal,2015,211.6
A-Alimentary tract and metabolism,NBPYEANB,PRT,Portugal,2016,222.3
A-Alimentary tract and metabolism,NBPYEANB,PRT,Portugal,2017,221.6
A-Alimentary tract and metabolism,NBPYEANB,PRT,Portugal,2018,228.1
A-Alimentary tract and metabolism,NBPYEANB,PRT,Portugal,2019,242.4
A-Alimentary tract and metabolism,NBPYEANB,PRT,Portugal,2020,265.3
A-Alimentary tract and metabolism,NBPYEANB,PRT,Portugal,2021,276.5
A-Alimentary tract and metabolism,NBPYEANB,SVK,Slovak Republic,2010,305.7
A-Alimentary tract and metabolism,NBPYEANB,SVK,Slovak Republic,2011,300.0
A-Alimentary tract and metabolism,NBPYEANB,SVK,Slovak Republic,2012,283.7
A-Alimentary tract and metabolism,NBPYEANB,SVK,Slovak Republic,2013,321.4
A-Alimentary tract and metabolism,NBPYEANB,SVK,Slovak Republic,2014,335.5
A-Alimentary tract and metabolism,NBPYEANB,SVK,Slovak Republic,2015,356.0
A-Alimentary tract and metabolism,NBPYEANB,SVK,Slovak Republic,2016,271.0
A-Alimentary tract and metabolism,NBPYEANB,SVK,Slovak Republic,2017,275.4
A-Alimentary tract and metabolism,NBPYEANB,SVK,Slovak Republic,2018,269.5
A-Alimentary tract and metabolism,NBPYEANB,SVK,Slovak Republic,2019,299.0
A-Alimentary tract and metabolism,NBPYEANB,SVK,Slovak Republic,2020,316.4
A-Alimentary tract and metabolism,NBPYEANB,ESP,Spain,2010,231.1
A-Alimentary tract and metabolism,NBPYEANB,ESP,Spain,2011,235.6
A-Alimentary tract and metabolism,NBPYEANB,ESP,Spain,2012,238.0
A-Alimentary tract and metabolism,NBPYEANB,ESP,Spain,2013,231.3
A-Alimentary tract and metabolism,NBPYEANB,ESP,Spain,2014,230.8
A-Alimentary tract and metabolism,NBPYEANB,ESP,Spain,2015,235.2
A-Alimentary tract and metabolism,NBPYEANB,ESP,Spain,2016,271.7
A-Alimentary tract and metabolism,NBPYEANB,ESP,Spain,2017,283.0
A-Alimentary tract and metabolism,NBPYEANB,ESP,Spain,2018,301.1
A-Alimentary tract and metabolism,NBPYEANB,ESP,Spain,2019,312.0
A-Alimentary tract and metabolism,NBPYEANB,ESP,Spain,2020,268.0
A-Alimentary tract and metabolism,NBPYEANB,ESP,Spain,2021,284.4
A-Alimentary tract and metabolism,NBPYEANB,SWE,Sweden,2010,247.1
A-Alimentary tract and metabolism,NBPYEANB,SWE,Sweden,2011,244.0
A-Alimentary tract and metabolism,NBPYEANB,SWE,Sweden,2012,243.7
A-Alimentary tract and metabolism,NBPYEANB,SWE,Sweden,2013,248.8
A-Alimentary tract and metabolism,NBPYEANB,SWE,Sweden,2014,252.3
A-Alimentary tract and metabolism,NBPYEANB,SWE,Sweden,2015,259.1
A-Alimentary tract and metabolism,NBPYEANB,SWE,Sweden,2016,263.5
A-Alimentary tract and metabolism,NBPYEANB,SWE,Sweden,2017,265.8
A-Alimentary tract and metabolism,NBPYEANB,SWE,Sweden,2018,268.2
A-Alimentary tract and metabolism,NBPYEANB,SWE,Sweden,2019,275.5
A-Alimentary tract and metabolism,NBPYEANB,SWE,Sweden,2020,277.2
A-Alimentary tract and metabolism,NBPYEANB,SWE,Sweden,2021,275.7
A-Alimentary tract and metabolism,NBPYEANB,TUR,Türkiye,2010,147.0
A-Alimentary tract and metabolism,NBPYEANB,TUR,Türkiye,2011,170.9
A-Alimentary tract and metabolism,NBPYEANB,TUR,Türkiye,2012,185.4
A-Alimentary tract and metabolism,NBPYEANB,TUR,Türkiye,2013,199.1
A-Alimentary tract and metabolism,NBPYEANB,TUR,Türkiye,2014,224.0
A-Alimentary tract and metabolism,NBPYEANB,TUR,Türkiye,2015,286.2
A-Alimentary tract and metabolism,NBPYEANB,TUR,Türkiye,2016,332.7
A-Alimentary tract and metabolism,NBPYEANB,TUR,Türkiye,2017,340.6
A-Alimentary tract and metabolism,NBPYEANB,TUR,Türkiye,2018,387.4
A-Alimentary tract and metabolism,NBPYEANB,TUR,Türkiye,2019,392.4
A-Alimentary tract and metabolism,NBPYEANB,TUR,Türkiye,2020,417.3
A-Alimentary tract and metabolism,NBPYEANB,GBR,United Kingdom,2010,187.3
A-Alimentary tract and metabolism,NBPYEANB,GBR,United Kingdom,2011,196.6
A-Alimentary tract and metabolism,NBPYEANB,GBR,United Kingdom,2012,206.4
A-Alimentary tract and metabolism,NBPYEANB,GBR,United Kingdom,2013,219.3
A-Alimentary tract and metabolism,NBPYEANB,GBR,United Kingdom,2014,226.5
A-Alimentary tract and metabolism,NBPYEANB,GBR,United Kingdom,2015,232.0
A-Alimentary tract and metabolism,NBPYEANB,GBR,United Kingdom,2016,235.6
A-Alimentary tract and metabolism,NBPYEANB,GBR,United Kingdom,2017,241.8
A-Alimentary tract and metabolism,NBPYEANB,CHL,Chile,2011,110.4
A-Alimentary tract and metabolism,NBPYEANB,CHL,Chile,2012,118.6
A-Alimentary tract and metabolism,NBPYEANB,CHL,Chile,2013,138.6
A-Alimentary tract and metabolism,NBPYEANB,CHL,Chile,2014,144.1
A-Alimentary tract and metabolism,NBPYEANB,CHL,Chile,2015,166.5
A-Alimentary tract and metabolism,NBPYEANB,CHL,Chile,2016,105.4
A-Alimentary tract and metabolism,NBPYEANB,CHL,Chile,2017,108.7
A-Alimentary tract and metabolism,NBPYEANB,CHL,Chile,2018,133.5
A-Alimentary tract and metabolism,NBPYEANB,CHL,Chile,2019,141.5
A-Alimentary tract and metabolism,NBPYEANB,CHL,Chile,2020,204.7
A-Alimentary tract and metabolism,NBPYEANB,CHL,Chile,2021,228.7
A-Alimentary tract and metabolism,NBPYEANB,EST,Estonia,2010,115.2
A-Alimentary tract and metabolism,NBPYEANB,EST,Estonia,2011,122.7
A-Alimentary tract and metabolism,NBPYEANB,EST,Estonia,2012,135.7
A-Alimentary tract and metabolism,NBPYEANB,EST,Estonia,2013,143.0
A-Alimentary tract and metabolism,NBPYEANB,EST,Estonia,2014,151.6
A-Alimentary tract and metabolism,NBPYEANB,EST,Estonia,2015,160.5
A-Alimentary tract and metabolism,NBPYEANB,EST,Estonia,2016,166.0
A-Alimentary tract and metabolism,NBPYEANB,EST,Estonia,2017,169.3
A-Alimentary tract and metabolism,NBPYEANB,EST,Estonia,2018,173.9
A-Alimentary tract and metabolism,NBPYEANB,EST,Estonia,2019,176.6
A-Alimentary tract and metabolism,NBPYEANB,EST,Estonia,2020,184.1
A-Alimentary tract and metabolism,NBPYEANB,EST,Estonia,2021,188.4
A-Alimentary tract and metabolism,NBPYEANB,ISR,Israel,2012,110.7
A-Alimentary tract and metabolism,NBPYEANB,ISR,Israel,2014,148.6
A-Alimentary tract and metabolism,NBPYEANB,ISR,Israel,2015,158.9
A-Alimentary tract and metabolism,NBPYEANB,ISR,Israel,2016,198.0
A-Alimentary tract and metabolism,NBPYEANB,ISR,Israel,2017,181.3
A-Alimentary tract and metabolism,NBPYEANB,ISR,Israel,2018,173.7
A-Alimentary tract and metabolism,NBPYEANB,ISR,Israel,2019,172.6
A-Alimentary tract and metabolism,NBPYEANB,ISR,Israel,2020,178.8
A-Alimentary tract and metabolism,NBPYEANB,ISR,Israel,2021,176.0
A-Alimentary tract and metabolism,NBPYEANB,SVN,Slovenia,2010,123.8
A-Alimentary tract and metabolism,NBPYEANB,SVN,Slovenia,2011,141.3
A-Alimentary tract and metabolism,NBPYEANB,SVN,Slovenia,2012,177.7
A-Alimentary tract and metabolism,NBPYEANB,SVN,Slovenia,2013,184.5
A-Alimentary tract and metabolism,NBPYEANB,SVN,Slovenia,2014,188.9
A-Alimentary tract and metabolism,NBPYEANB,SVN,Slovenia,2015,198.3
A-Alimentary tract and metabolism,NBPYEANB,SVN,Slovenia,2016,210.5
A-Alimentary tract and metabolism,NBPYEANB,SVN,Slovenia,2017,221.7
A-Alimentary tract and metabolism,NBPYEANB,SVN,Slovenia,2018,233.3
A-Alimentary tract and metabolism,NBPYEANB,SVN,Slovenia,2019,249.8
A-Alimentary tract and metabolism,NBPYEANB,SVN,Slovenia,2020,281.9
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUS,Australia,2010,68.8
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUS,Australia,2011,71.5
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUS,Australia,2012,73.3
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUS,Australia,2013,76.2
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUS,Australia,2014,77.8
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUS,Australia,2015,77.5
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUS,Australia,2016,78.0
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUS,Australia,2017,77.3
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUS,Australia,2018,76.0
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUS,Australia,2019,68.3
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUS,Australia,2020,62.4
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUT,Austria,2010,63.7
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUT,Austria,2011,66.1
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUT,Austria,2012,67.6
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUT,Austria,2013,68.8
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUT,Austria,2014,68.3
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUT,Austria,2015,66.1
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUT,Austria,2016,45.9
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUT,Austria,2017,35.4
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUT,Austria,2018,33.6
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUT,Austria,2019,32.1
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,AUT,Austria,2020,30.5
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,BEL,Belgium,2010,79.7
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,BEL,Belgium,2011,83.8
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,BEL,Belgium,2012,87.7
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,BEL,Belgium,2013,91.3
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,BEL,Belgium,2014,95.4
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,BEL,Belgium,2015,100.1
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,BEL,Belgium,2016,108.7
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,BEL,Belgium,2017,92.6
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,BEL,Belgium,2018,97.2
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,BEL,Belgium,2019,100.0
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,BEL,Belgium,2020,99.9
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,CAN,Canada,2010,38.7
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,CAN,Canada,2011,39.7
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,CAN,Canada,2012,40.3
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,CAN,Canada,2013,42.2
A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),NBPYEANB,CAN,Canada,2014,46.7
